,project,chain,symbol,tvlUsd,apy,apyMean30d
0,aave-v3,Ethereum,WEETH,7288396909,0.00014,0.00018
1,aave-v3,Ethereum,WSTETH,4202360129,0.00862,0.00992
2,aave-v3,Ethereum,WBTC,3825747791,0.00694,0.00655
3,aave-v3,Ethereum,WETH,2556925851,1.28938,1.24096
4,sparklend,Ethereum,WSTETH,2021144015,0.0,0.0
5,aave-v3,Ethereum,CBBTC,1979024973,0.00177,0.00231
6,morpho-v1,Base,CBBTC,1897837963,0.0,0.0
7,aave-v3,Ethereum,USDT,1750659236,2.54316,2.70465
8,morpho-v1,Ethereum,CBBTC,865063782,0.0,0.0
10,aave-v3,Ethereum,USDC,726586643,3.43861,3.30953
13,morpho-v1,Base,STEAKUSDC,506206035,5.40001,5.40011
15,aave-v3,Ethereum,RSETH,467511463,0.0,0.0
16,morpho-v1,Ethereum,STEAKUSDC,458755524,3.38463,4.13241
17,compound-v3,Ethereum,WBTC,447170416,0.0,0.0
20,sparklend,Ethereum,WEETH,382244677,0.0,0.0
22,aave-v3,Ethereum,WSTETH,359536831,0.03537,0.03378
25,morpho-v1,Base,GTUSDCP,305431426,5.51379,5.59582
26,aave-v3,Ethereum,LBTC,283672756,0.0,0.0
28,aave-v3,Base,CBBTC,268948618,0.057,0.06228
29,morpho-v1,Ethereum,WBTC,267097247,0.0,0.0
31,sparklend,Ethereum,LBTC,248211321,0.0,0.0
32,aave-v3,Base,WEETH,247935216,4e-05,4e-05
33,aave-v3,Arbitrum,WEETH,246473334,3e-05,2e-05
36,aave-v3,Arbitrum,WBTC,231000406,0.02456,0.02718
37,aave-v3,Arbitrum,RSETH,228365115,0.0,0.0
39,morpho-v1,Ethereum,WSTETH,197569896,0.0,0.0
41,sparklend,Ethereum,USDS,168850909,4.22821,4.43577
45,compound-v3,Ethereum,WETH,151576979,0.0,0.0
46,compound-v3,Ethereum,WBTC,145696791,0.0,0.0
49,sparklend,Ethereum,CBBTC,140107859,0.00214,0.01848
50,sparklend,Ethereum,WETH,139548806,1.56847,1.46755
51,aave-v3,Ethereum,RETH,132365214,2e-05,2e-05
53,morpho-v1,Ethereum,WSTETH,128556858,0.0,0.0
55,morpho-v1,Ethereum,WBTC,123270676,0.0,0.0
60,aave-v3,Arbitrum,WSTETH,112881991,0.00022,0.00024
62,sparklend,Ethereum,USDT,103152344,2.61197,3.33568
65,compound-v3,Ethereum,RSETH,98979368,0.0,0.0
67,sparklend,Ethereum,USDS,97410786,3.03695,3.06038
69,compound-v3,Ethereum,WSTETH,95946937,0.0,0.0
70,aave-v3,Base,USDC,95872491,3.63907,3.6077
72,compound-v3,Ethereum,WSTETH,94528035,0.0,0.0
74,aave-v3,Arbitrum,WETH,90267575,1.71234,1.82124
76,aave-v3,Polygon,WBTC,88398032,0.00754,0.00809
77,sparklend,Ethereum,RETH,87203095,1e-05,1e-05
80,aave-v3,Base,WSTETH,82944213,0.00288,0.00367
82,morpho-v1,Ethereum,WEETH,82459567,0.0,0.0
83,aave-v3,Base,WETH,82285295,1.39039,1.29547
84,morpho-v1,Base,STEAKUSDC,82012718,5.51361,5.59628
86,morpho-v1,Base,WETH,76500625,0.0,0.0
88,aave-v3,Arbitrum,USDC,76138590,2.82632,3.07617
95,morpho-v1,Ethereum,WSTETH,66184477,0.0,0.0
110,sparklend,Ethereum,WBTC,54107492,0.0002,0.0002
113,compound-v3,Ethereum,WETH,49331884,0.0,0.0
120,morpho-v1,Ethereum,CBBTC,42290604,0.0,0.0
122,aave-v3,Ethereum,USDS,41009033,0.99472,0.96409
123,compound-v3,Ethereum,USDC,40142978,4.4457,3.73077
129,aave-v3,Optimism,WSTETH,36176053,0.00199,0.00204
138,morpho-v1,Base,WSTETH,34033295,0.0,0.0
139,compound-v3,Ethereum,CBBTC,33800204,0.0,0.0
140,compound-v3,Ethereum,WEETH,33180865,0.0,0.0
143,morpho-v1,Optimism,GTUSDCP,32296749,6.26256,6.57474
145,aave-v3,Polygon,WETH,31617331,0.5471,0.53352
150,compound-v3,Arbitrum,WBTC,29574159,0.0,0.0
152,compound-v3,Ethereum,ETH,28073680,1.91917,1.99204
154,aave-v3,Ethereum,WETH,27082237,1.48413,1.6172
155,compound-v3,Ethereum,USDT,26579405,3.29789,3.45681
156,sparklend,Ethereum,RSETH,26330432,0.0,0.0
163,morpho-v1,Arbitrum,WSTETH,24461273,0.0,0.0
164,aave-v3,Optimism,WBTC,24327043,0.01787,0.01778
170,morpho-v1,Ethereum,WSTETH,22571527,0.0,0.0
180,compound-v3,Arbitrum,WBTC,19790031,0.0,0.0
183,compound-v3,Ethereum,WEETH,19088389,0.0,0.0
187,aave-v3,Polygon,USDC,18421142,2.90709,2.96998
188,morpho-v1,Ethereum,LBTC,18177056,0.0,0.0
189,compound-v3,Ethereum,WSTETH,18135979,0.0,0.0
190,aave-v3,Polygon,WSTETH,17776210,0.03662,0.00962
211,aave-v3,Optimism,WETH,13535746,0.89543,0.915
212,compound-v3,Base,CBBTC,13508417,0.0,0.0
214,compound-v3,Arbitrum,WSTETH,13219012,0.0,0.0
225,morpho-v1,Base,CBBTC,11321040,0.0,0.0
242,compound-v3,Arbitrum,WSTETH,10026884,0.0,0.0
244,compound-v3,Arbitrum,WETH,9916024,0.0,0.0
246,morpho-v1,Arbitrum,GTUSDCP,9173275,3.62279,4.33494
264,morpho-v1,Ethereum,LBTC,8206061,0.0,0.0
268,morpho-v1,Optimism,WBTC,7853205,0.0,0.0
276,compound-v3,Arbitrum,USDT,7366386,2.92979,3.45703
280,morpho-v1,Base,WEETH,6946931,0.0,0.0
281,morpho-v1,Ethereum,WBTC,6913674,0.0,0.0
289,morpho-v1,Ethereum,STEAKUSDC,6525917,3.36742,4.12358
291,compound-v3,Arbitrum,WETH,6471931,0.0,0.0
294,compound-v3,Base,WETH,6262232,0.0,0.0
296,morpho-v1,Ethereum,WBTC,6185556,0.0,0.0
297,aave-v3,Base,LBTC,6149697,0.0,0.0
302,aave-v3,Optimism,USDC,6055431,2.74635,2.5271
306,compound-v3,Arbitrum,USDC,5788363,3.37261,3.57802
311,morpho-v1,Arbitrum,WBTC,5635662,0.0,0.0
314,morpho-v1,Arbitrum,WBTC,5574946,0.0,0.0
316,morpho-v1,Ethereum,WBTC,5566653,0.0,0.0
318,morpho-v1,Ethereum,CBBTC,5495862,0.0,0.0
323,compound-v3,Optimism,WBTC,5225964,0.0,0.0
327,compound-v3,Polygon,WBTC,5049872,0.0,0.0
328,compound-v3,Ethereum,WEETH,5041083,0.0,0.0
330,sparklend,Ethereum,USDC,4995675,4.37689,3.93494
340,morpho-v1,Optimism,WETH,4708456,0.0,0.0
349,morpho-v1,Base,WSTETH,4363279,0.0,0.0
351,compound-v3,Polygon,WBTC,4351694,0.0,0.0
354,compound-v3,Ethereum,CBBTC,4324114,0.0,0.0
361,compound-v3,Optimism,WBTC,4115145,0.0,0.0
362,aave-v3,Optimism,RETH,4089524,1e-05,0.0
365,morpho-v1,Polygon,WSTETH,4047339,0.0,0.0
368,morpho-v1,Ethereum,WSTETH,3917366,0.0,0.0
