,chain,metric_type,date,totalLiquidityUSD,protocol,tokens
6680,Polygon,tvl,2025-01-01 00:00:00,388997758.0,Aave,
6681,Polygon,tvl,2025-01-02 00:00:00,397553794.0,Aave,
6682,Polygon,tvl,2025-01-03 00:00:00,404799555.0,Aave,
6683,Polygon,tvl,2025-01-04 00:00:00,411728677.0,Aave,
6684,Polygon,tvl,2025-01-05 00:00:00,423682969.0,Aave,
6685,Polygon,tvl,2025-01-06 00:00:00,422263571.0,Aave,
6686,Polygon,tvl,2025-01-07 00:00:00,428986783.0,Aave,
6687,Polygon,tvl,2025-01-08 00:00:00,400367923.0,Aave,
6688,Polygon,tvl,2025-01-09 00:00:00,392119435.0,Aave,
6689,Polygon,tvl,2025-01-10 00:00:00,381912947.0,Aave,
6690,Polygon,tvl,2025-01-11 00:00:00,390177745.0,Aave,
6691,Polygon,tvl,2025-01-12 00:00:00,391642262.0,Aave,
6692,Polygon,tvl,2025-01-13 00:00:00,385808959.0,Aave,
6693,Polygon,tvl,2025-01-14 00:00:00,379780563.0,Aave,
6694,Polygon,tvl,2025-01-15 00:00:00,391687253.0,Aave,
6695,Polygon,tvl,2025-01-16 00:00:00,412278672.0,Aave,
6696,Polygon,tvl,2025-01-17 00:00:00,407091713.0,Aave,
6697,Polygon,tvl,2025-01-18 00:00:00,428473939.0,Aave,
6698,Polygon,tvl,2025-01-19 00:00:00,414944361.0,Aave,
6699,Polygon,tvl,2025-01-20 00:00:00,407636335.0,Aave,
6700,Polygon,tvl,2025-01-21 00:00:00,406243175.0,Aave,
6701,Polygon,tvl,2025-01-22 00:00:00,419142993.0,Aave,
6702,Polygon,tvl,2025-01-23 00:00:00,412810487.0,Aave,
6703,Polygon,tvl,2025-01-24 00:00:00,412658316.0,Aave,
6704,Polygon,tvl,2025-01-25 00:00:00,415859875.0,Aave,
6705,Polygon,tvl,2025-01-26 00:00:00,416123466.0,Aave,
6706,Polygon,tvl,2025-01-27 00:00:00,414617540.0,Aave,
6707,Polygon,tvl,2025-01-28 00:00:00,400255645.0,Aave,
6708,Polygon,tvl,2025-01-29 00:00:00,389948122.0,Aave,
6709,Polygon,tvl,2025-01-30 00:00:00,391905794.0,Aave,
6710,Polygon,tvl,2025-01-31 00:00:00,404260035.0,Aave,
6711,Polygon,tvl,2025-02-01 00:00:00,403190392.0,Aave,
6712,Polygon,tvl,2025-02-02 00:00:00,387671406.0,Aave,
6713,Polygon,tvl,2025-02-03 00:00:00,356904778.0,Aave,
